id,category,image_context,prompt
1514,Fashion/Style,photo of a brown leather vintage handbag,Act as a stylist. Look at this vintage handbag. What accessories would you pair with this for a formal event?
1515,Culinary/Food,photo of a colorful wok filled with stir-fried vegetables,Identify the dish in this image of vegetable stir-fry. Estimate the calories and suggest a {dietary_restriction} alternative.
1516,Education,map showing earth's tectonic plates,Create a quiz question based on the information in this tectonic plates.
1517,Travel/Landmarks,photo of the Great Wall winding through mountains,Translate the signage visible in this photo of Great Wall of China into Italian and explain the cultural context.
1518,Nature/Biology,photo of a spider web with dew drops,Describe the habitat where you would typically find this spider web.
1519,Culinary/Food,photo of an acai bowl with granola and banana,Identify the dish in this image of smoothie bowl. Estimate the calories and suggest a {dietary_restriction} alternative.
1520,Coding,screenshot of a drag-and-drop kanban board with tasks,Act as a frontend developer. Convert this kanban board screenshot into production-ready {tech_stack}.
1521,Fashion/Style,side-profile photo of limited edition colorful sneakers,Act as a stylist. Look at this sneakers. What accessories would you pair with this for a formal event?
1522,Education,diagram showing a chemical equation,Solve the problem shown in this chemical reaction. Show your work step-by-step.
1523,Fashion/Style,photo of a rugged hiking backpack,Identify the style and era of this backpack. Where could I buy something similar today?
1524,Travel/Landmarks,photo of the Colosseum in Rome,Identify this landmark: Colosseum. Provide a 3-day itinerary for a trip here.
1525,Fashion/Style,photo of black leggings/yoga pants,Is this yoga pants appropriate for a business casual office environment?
1526,Education,diagram explaining the process of photosynthesis,Solve the problem shown in this photosynthesis. Show your work step-by-step.
1527,Education,photo of a textbook page showing a triangle with missing angles,Act as a tutor. Explain the concept shown in this geometry problem to a chef.
1528,Creative Writing,close-up macro photo of a red mushroom in the forest,Describe this wild mushroom using only metaphors and similes.
1529,Fashion/Style,photo of red stiletto heels,Is this high heels appropriate for a business casual office environment?
1530,Home/DIY,photo of a handmade blue ceramic vase,How would you clean this ceramic vase without damaging the material?
1531,Fashion/Style,photo of bright neon running shoes,Is this running shoes appropriate for a business casual office environment?
1532,OCR/Extraction,photo of a sticky note with a to-do list in cursive ink,Find the date and total amount in this handwritten note. Return only these two values.
1533,Creative Writing,close-up macro photo of a red mushroom in the forest,Describe this wild mushroom using only metaphors and similes.
1534,Education,image of a color wheel for art theory,Create a quiz question based on the information in this color wheel.
1535,Travel/Landmarks,photo of the Eiffel Tower in Paris against a blue sky,Identify this landmark: Eiffel Tower. Provide a 3-day itinerary for a trip here.
1536,Culinary/Food,photo of a slice of rich chocolate cake on a white plate,I have these ingredients shown in the chocolate cake image. What spice should I add to elevate the flavor?
1537,Fashion/Style,close-up photo of a luxury mechanical wristwatch,Is this wristwatch appropriate for a business casual office environment?
1538,Culinary/Food,photo of a vibrant sushi plate with wasabi and ginger,I have these ingredients shown in the sushi platter image. What spice should I add to elevate the flavor?
1539,OCR/Extraction,photo of a signed residential lease contract page,Extract the text from this lease agreement and return it as {output_format}.
1540,Travel/Landmarks,wide-angle photo of the Grand Canyon at sunset,Translate the signage visible in this photo of Grand Canyon into Spanish and explain the cultural context.
1541,Coding,screenshot of an e-commerce checkout flow with credit card inputs,Act as a frontend developer. Convert this checkout page screenshot into production-ready {tech_stack}.
1542,Coding,screenshot of an e-commerce checkout flow with credit card inputs,Act as a frontend developer. Convert this checkout page screenshot into production-ready {tech_stack}.
1543,Data Analysis,image of a line graph showing stock price trends,Convert the data shown in this line graph into a CSV format.
1544,Home/DIY,photo of a white shaker-style kitchen cabinet,How would you clean this kitchen cabinet without damaging the material?
1545,Home/DIY,photo of hardwood flooring with a scratch,Look at this wooden floor. What tools would I likely need to fix or restore it?
1546,OCR/Extraction,photo of an electricity bill with usage graphs,Find the date and total amount in this utility bill. Return only these two values.
1547,Nature/Biology,photo of a saguaro cactus in the desert,Identify this cactus. Is it poisonous or dangerous? Provide a scientific classification.
1548,Travel/Landmarks,photo of Big Ben and Parliament in London,Translate the signage visible in this photo of Big Ben into Russian and explain the cultural context.
1549,Fashion/Style,photo of a brown leather vintage handbag,Is this vintage handbag appropriate for a business casual office environment?
1550,Creative Writing,photo of a blue jay perched on a tree branch,Describe this bird using only metaphors and similes.
1551,Creative Writing,underwater photo of colorful coral,Describe this coral reef using only metaphors and similes.
1552,Education,image of the periodic table of elements,Act as a tutor. Explain the concept shown in this periodic table to a developer.
1553,Creative Writing,underwater photo of colorful coral,Describe this coral reef using only metaphors and similes.
1554,Culinary/Food,photo of a gourmet burger with fries,Identify the dish in this image of burger. Estimate the calories and suggest a {dietary_restriction} alternative.
1555,Home/DIY,photo of a cordless power drill,Identify the style of this power drill. Suggest a color palette for a room that features this piece.
1556,OCR/Extraction,photo of a crumpled thermal receipt from a supermarket,Extract the text from this grocery receipt and return it as {output_format}.
1557,Culinary/Food,photo of a grilled salmon fillet with asparagus,Write a mouth-watering instagram caption for this photo of grilled salmon.
1558,OCR/Extraction,photo of a signed residential lease contract page,Find the date and total amount in this lease agreement. Return only these two values.
1559,Travel/Landmarks,photo of the Taj Mahal reflecting in the pool,What is the best time of year to visit Taj Mahal to take a photo like this?
